noise,lmbda,gamma,k,num_regions,trial,C_T,Zu,cr_q
0.1,5,0.00025,1,5,45,-0.16340269496505772,-0.9022118055440558,0.101
0.1,5,0.00025,1,5,46,-0.4088604909974482,-2.596225166037491,0.061
0.1,5,0.00025,1,5,47,0.7004605945455104,-0.5732881365190713,0.087
0.1,5,0.00025,1,5,48,0.023504299415026377,-1.104168231853673,0.052
0.1,5,0.00025,1,5,49,0.13765744053976758,-1.5008420154811644,0.105
0.1,5,0.00025,1,5,50,-0.07711175340890809,-1.4120357952877565,0.062
0.1,5,0.00025,1,5,51,-0.3492732399132408,-0.802980927248846,0.057
0.1,5,0.00025,1,5,52,-0.6040180943902282,-0.8974589179521228,0.087
0.1,5,0.00025,1,5,53,0.3145203852954514,-1.5645229794038338,0.088
0.1,5,0.00025,1,5,54,0.2064993860016468,-0.837301951719354,0.088
0.1,5,0.00025,1,5,55,0.4517578798951687,-0.6338504451005236,0.039
0.1,5,0.00025,1,5,56,-0.7382363071096502,-2.062258090793716,0.052
0.1,5,0.00025,1,5,57,-0.13252607269855257,-1.310840454251898,0.097
0.1,5,0.00025,1,5,58,-0.4025388239091632,-1.1149075779639426,0.091
0.1,5,0.00025,1,5,59,-0.2613575871775541,-1.5005143100657012,0.043
0.1,5,0.00025,1,5,60,0.3007013256433468,-1.2221087343130912,0.097
0.1,5,0.00025,1,5,61,-0.16344520486002415,-1.3113813348204733,0.043
0.1,5,0.00025,1,5,62,-0.12658197096871818,-1.2839729000734064,0.086
0.1,5,0.00025,1,5,63,-0.22988268410877327,-1.5885152652676942,0.071
0.1,5,0.00025,1,5,64,0.5747775214579038,-0.3982561267346393,0.057
0.1,5,0.00025,1,5,65,-0.06101793213648466,-1.3618404959199877,0.051
0.1,5,0.00025,1,5,66,0.1799338319851139,-1.1293161664854507,0.085
0.1,5,0.00025,1,5,67,0.7013998630246083,-0.052159721750679344,0.051
0.1,5,0.00025,1,5,68,-0.2226425004196257,-0.7830118443888316,0.066
0.1,5,0.00025,1,5,69,-0.1525630576473455,-0.6114839841727674,0.054
0.1,5,0.00025,1,5,70,-0.12288640145418667,-1.1987739556012447,0.084
0.1,5,0.00025,1,5,71,0.08186108896971088,-1.4540176201518233,0.091
0.1,5,0.00025,1,5,72,-0.18666587742929805,-1.196198297476631,0.063
0.1,5,0.00025,1,5,73,-0.23675010177996914,-1.4850143746529596,0.037
0.1,5,0.00025,1,5,74,0.3428178753320704,-0.3677384519100884,0.074
0.1,5,0.00025,1,5,75,-0.04525551459999249,-0.8669382864618268,0.089
0.1,5,0.00025,1,5,76,0.011666754510390167,-1.1407871287161038,0.083
0.1,5,0.00025,1,5,77,0.7242625830258091,-0.2729177631792258,0.077
0.1,5,0.00025,1,5,78,-0.2637851794001613,-1.451870436703495,0.058
0.1,5,0.00025,1,5,79,0.1462826545204146,-1.2751380653984412,0.064
0.1,5,0.00025,1,5,80,-0.0005695737264237458,-1.0719390595154823,0.059
0.1,5,0.00025,1,5,81,-0.09335021783696654,-1.2082546299495749,0.039
0.1,5,0.00025,1,5,82,-0.1537119512392745,-1.1092285049461281,0.08
0.1,5,0.00025,1,5,83,-0.6250567885550685,-1.9471731307384772,0.064
0.1,5,0.00025,1,5,84,-0.085018769007146,-1.1485322903741895,0.095
0.1,5,0.00025,1,5,85,-0.17933091102223483,-0.8340662637255852,0.09
0.1,5,0.00025,1,5,86,-0.30349816985859124,-2.4605101663656535,0.099
0.1,5,0.00025,1,5,87,0.235724420261036,-1.9924214015504926,0.07
0.1,5,0.00025,1,5,88,0.7226865651512847,-0.6514252740578137,0.07
0.1,5,0.00025,1,5,89,-0.24311508615953414,-1.1864981941505406,0.068
0.1,5,0.00025,1,5,90,0.2999831618332849,-1.1861619202977072,0.062
0.1,5,0.00025,1,5,91,0.5168235334905623,-2.0700323630560757,0.05
0.1,5,0.00025,1,5,92,-0.29740871064299923,-1.3118820460334484,0.097
0.1,5,0.00025,1,5,93,0.03975890437198445,-0.9204131643530877,0.094
0.1,5,0.00025,1,5,94,0.2497876163540407,-0.9593747989339297,0.096
0.1,5,0.00025,1,5,95,0.0681906219703865,-0.9227947870162777,0.068
0.1,5,0.00025,1,5,96,-0.6592670058588942,-1.1275532928298821,0.095
0.1,5,0.00025,1,5,97,0.1496813178864231,-0.48238962546085834,0.046
0.1,5,0.00025,1,5,98,-0.22194750800609467,-1.7702987176590304,0.05
0.1,5,0.00025,1,5,99,0.18815139869975114,-1.0438442298200594,0.09
0.1,5,0.00025,1,10,0,0.05827789241360065,-1.1722873799976379,0.099
0.1,5,0.00025,1,10,1,0.0027159749297722548,-1.7853571071357126,0.109
0.1,5,0.00025,1,10,2,0.07060925638850175,-1.5815844831955579,0.088
0.1,5,0.00025,1,10,3,0.20203645514183932,-1.1575352808477013,0.048
0.1,5,0.00025,1,10,4,-0.2752218885702256,-1.128993511373224,0.079
0.1,5,0.00025,1,10,5,0.08176636301142677,-1.1980110205302308,0.041
0.1,5,0.00025,1,10,6,0.012932776199203409,-2.3494570479726007,0.057
0.1,5,0.00025,1,10,7,-0.290443197905264,-1.2582925708644226,0.08
0.1,5,0.00025,1,10,8,-0.26407849149913326,-2.05082953752093,0.065
0.1,5,0.00025,1,10,9,-0.13982774869775594,-2.1403033726565286,0.09
0.1,5,0.00025,1,10,10,-0.22866339301198021,-1.383083178888002,0.067
0.1,5,0.00025,1,10,11,0.14308612675934873,-1.2253268341076122,0.083
0.1,5,0.00025,1,10,12,0.08438047344841003,-2.51313075187708,0.107
0.1,5,0.00025,1,10,13,-0.017470143345006187,-1.5472092080156867,0.108
0.1,5,0.00025,1,10,14,0.2264511587358831,-1.5235838613363035,0.071
0.1,5,0.00025,1,10,15,0.07196948848872464,-1.8266955274530183,0.042
