rho,lmbda,n_proj,cr
0.1,8,30,0.0127
0.9,8,40,0.84638
0.8,8,40,0.77057
0.7,8,40,0.579745
0.6,8,40,0.36565
0.5,8,40,0.277905
0.4,8,40,0.06371
0.3,8,40,0.03163
0.2,8,40,0.033435
0.1,8,40,0.02583
0.9,8,50,0.906585
0.8,8,50,0.805755
0.7,8,50,0.64584
0.6,8,50,0.506555
0.5,8,50,0.36571
0.4,8,50,0.14804
0.3,8,50,0.07427
0.2,8,50,0.06861
0.1,8,50,0.020085
0.9,9,1,0.09005
0.8,9,1,0.107155
0.7,9,1,0.044115
0.6,9,1,0.03078
0.5,9,1,0.04581
0.4,9,1,0.001655
0.3,9,1,0.00032
0.2,9,1,0.000335
0.1,9,1,0.00013
0.9,9,10,0.53145
0.8,9,10,0.37363
0.7,9,10,0.31105
0.6,9,10,0.12426
0.5,9,10,0.06172
0.4,9,10,0.083555
0.3,9,10,0.00655
0.2,9,10,0.002685
0.1,9,10,0.00237
0.9,9,20,0.69601
0.8,9,20,0.548865
0.7,9,20,0.33013
0.6,9,20,0.225435
0.5,9,20,0.08966
0.4,9,20,0.04148
0.3,9,20,0.03921
0.2,9,20,0.01395
0.1,9,20,0.0053
0.9,9,30,0.68441
0.8,9,30,0.731275
0.7,9,30,0.2228
0.6,9,30,0.27003
0.5,9,30,0.19686
0.4,9,30,0.146745
0.3,9,30,0.025835
0.2,9,30,0.010295
0.1,9,30,0.00742
0.9,9,40,0.748655
0.8,9,40,0.67939
0.7,9,40,0.542145
0.6,9,40,0.34601
0.5,9,40,0.10519
0.4,9,40,0.072215
0.3,9,40,0.026935
0.2,9,40,0.013925
0.1,9,40,0.019515
0.9,9,50,0.87881
0.8,9,50,0.765535
0.7,9,50,0.50724
0.6,9,50,0.34188
0.5,9,50,0.30314
0.4,9,50,0.08142
0.3,9,50,0.04113
0.2,9,50,0.018985
0.1,9,50,0.01322
0.9,10,1,0.14675
0.8,10,1,0.146805
0.7,10,1,0.003515
0.6,10,1,0.000385
0.5,10,1,0.002315
0.4,10,1,0.000435
0.3,10,1,0.000155
0.2,10,1,0.000285
0.1,10,1,0.00029
0.9,10,10,0.16285
0.8,10,10,0.186235
0.7,10,10,0.17452
0.6,10,10,0.117605
0.5,10,10,0.0632
0.4,10,10,0.03647
0.3,10,10,0.05143
0.2,10,10,0.002295
0.1,10,10,0.003025
0.9,10,20,0.60824
0.8,10,20,0.45828
0.7,10,20,0.266845
0.6,10,20,0.175005
0.5,10,20,0.25708
0.4,10,20,0.028205
0.3,10,20,0.01008
0.2,10,20,0.004425
0.1,10,20,0.006185
0.9,10,30,0.698315
0.8,10,30,0.550075
0.7,10,30,0.241945
0.6,10,30,0.17963
0.5,10,30,0.06378
0.4,10,30,0.01721
0.3,10,30,0.042965
0.2,10,30,0.012565
0.1,10,30,0.00805
0.9,10,40,0.605865
0.8,10,40,0.49673
0.7,10,40,0.45928
0.6,10,40,0.16178
0.5,10,40,0.114095
0.4,10,40,0.15434
0.3,10,40,0.014815
0.2,10,40,0.010595
0.1,10,40,0.009665
0.9,10,50,0.846305
0.8,10,50,0.564665
0.7,10,50,0.48282
0.6,10,50,0.270495
0.5,10,50,0.13141
0.4,10,50,0.0528
0.3,10,50,0.025815
0.2,10,50,0.012275
0.1,10,50,0.00802
0.9,11,1,0.00078
0.8,11,1,0.04991
0.7,11,1,0.00034
0.6,11,1,0.000675
0.5,11,1,0.000285
0.4,11,1,0.00095
0.3,11,1,0.00026
0.2,11,1,0.000115
0.1,11,1,0.00015
0.9,11,10,0.24164
0.8,11,10,0.07007
0.7,11,10,0.16579
0.6,11,10,0.141025
0.5,11,10,0.0551
0.4,11,10,0.017245
0.3,11,10,0.003005
0.2,11,10,0.001885
0.1,11,10,0.002065
0.9,11,20,0.195895
0.8,11,20,0.322205
0.7,11,20,0.20796
0.6,11,20,0.07432
0.5,11,20,0.01973
0.4,11,20,0.06127
0.3,11,20,0.00728
0.2,11,20,0.003655
0.1,11,20,0.002605
0.9,11,30,0.50956
0.8,11,30,0.414035
0.7,11,30,0.23391
0.6,11,30,0.198265
0.5,11,30,0.01632
0.4,11,30,0.0717
0.3,11,30,0.0073
0.2,11,30,0.01243
0.1,11,30,0.00498
0.9,11,40,0.646355
0.8,11,40,0.570045
0.7,11,40,0.27996
0.6,11,40,0.197605
0.5,11,40,0.098125
0.4,11,40,0.024405
0.3,11,40,0.01462
0.2,11,40,0.009385
0.1,11,40,0.007475
0.9,11,50,0.553845
0.8,11,50,0.61992
0.7,11,50,0.11017
0.6,11,50,0.21866
0.5,11,50,0.133125
0.4,11,50,0.03543
0.3,11,50,0.02706
0.2,11,50,0.009475
0.1,11,50,0.00831
0.9,12,1,0.034795
0.8,12,1,0.00306
0.7,12,1,0.000125
0.6,12,1,0.000425
0.5,12,1,0.00089
0.4,12,1,0.00012
0.3,12,1,9e-05
0.2,12,1,0.0001
0.1,12,1,0.000125
0.9,12,10,0.127785
0.8,12,10,0.024875
0.7,12,10,0.11999
0.6,12,10,0.03605
0.5,12,10,0.027755
0.4,12,10,0.00867
0.3,12,10,0.00431
0.2,12,10,0.00273
0.1,12,10,0.0013
0.9,12,20,0.3413
0.8,12,20,0.28233
0.7,12,20,0.123325
0.6,12,20,0.083815
0.5,12,20,0.074165
0.4,12,20,0.005335
0.3,12,20,0.003785
0.2,12,20,0.003255
0.1,12,20,0.00268
0.9,12,30,0.421795
0.8,12,30,0.26086
0.7,12,30,0.2011
0.6,12,30,0.139445
0.5,12,30,0.016315
0.4,12,30,0.010785
0.3,12,30,0.006675
0.2,12,30,0.00458
0.1,12,30,0.003415
0.9,12,40,0.646265
0.8,12,40,0.436965
0.7,12,40,0.222365
0.6,12,40,0.201185
0.5,12,40,0.090015
0.4,12,40,0.01669
0.3,12,40,0.01074
0.2,12,40,0.00606
0.1,12,40,0.004965
0.9,12,50,0.45047
0.8,12,50,0.42803
0.7,12,50,0.423355
0.6,12,50,0.235585
0.5,12,50,0.060345
0.4,12,50,0.04476
0.3,12,50,0.009725
0.2,12,50,0.00787
0.1,12,50,0.005785
0.9,13,1,0.000965
0.8,13,1,0.00014
0.7,13,1,0.001795
0.6,13,1,0.000255
0.5,13,1,0.000265
0.4,13,1,0.0008
0.3,13,1,0.000195
0.2,13,1,0.00037
0.1,13,1,8e-05
