n_components,n_features,lmbda,gamma,k,num_regions,trial,C_T,cr_q
1,4,5,0.00025,1,5,88,4.651336005312685,0.1475
1,4,5,0.00025,1,5,89,4.0477753400596646,0.124
1,4,5,0.00025,1,5,90,4.4979457208104945,0.2
1,4,5,0.00025,1,5,91,3.757553828907234,0.112
1,4,5,0.00025,1,5,92,3.808386599530715,0.145
1,4,5,0.00025,1,5,93,4.49200075843022,0.156
1,4,5,0.00025,1,5,94,4.157454027207069,0.184
1,4,5,0.00025,1,5,95,4.396708080526714,0.1035
1,4,5,0.00025,1,5,96,3.729279744156301,0.121
1,4,5,0.00025,1,5,97,4.633218798977126,0.1325
1,4,5,0.00025,1,5,98,4.3512680297570485,0.1315
1,4,5,0.00025,1,5,99,3.390272986544538,0.2495
1,4,5,0.00025,1,10,0,2.867395172352281,0.173
1,4,5,0.00025,1,10,1,3.504417646207301,0.1395
1,4,5,0.00025,1,10,2,3.2937103362764075,0.2225
1,4,5,0.00025,1,10,3,2.627733820986591,0.113
1,4,5,0.00025,1,10,4,2.6458007059234854,0.1265
1,4,5,0.00025,1,10,5,3.544588279697007,0.121
1,4,5,0.00025,1,10,6,2.51961764064756,0.19
1,4,5,0.00025,1,10,7,3.059132699824089,0.12
1,4,5,0.00025,1,10,8,3.173825630732334,0.124
1,4,5,0.00025,1,10,9,3.7747997048926742,0.159
1,4,5,0.00025,1,10,10,3.094105344334598,0.1075
1,4,5,0.00025,1,10,11,2.9759724466684463,0.2255
1,4,5,0.00025,1,10,12,3.5286127128837848,0.2195
1,4,5,0.00025,1,10,13,3.645360142561906,0.135
1,4,5,0.00025,1,10,14,2.8665738350110135,0.334
1,4,5,0.00025,1,10,15,3.1899968102748666,0.209
1,4,5,0.00025,1,10,16,2.782238664200516,0.2635
1,4,5,0.00025,1,10,17,3.3729511289001954,0.167
1,4,5,0.00025,1,10,18,2.644108898861815,0.112
1,4,5,0.00025,1,10,19,3.411272243536448,0.123
1,4,5,0.00025,1,10,20,2.3925956338671,0.2535
1,4,5,0.00025,1,10,21,2.783471288317856,0.115
1,4,5,0.00025,1,10,22,3.4883380433107005,0.197
1,4,5,0.00025,1,10,23,2.500903055974784,0.132
1,4,5,0.00025,1,10,24,3.1609022556690225,0.1215
1,4,5,0.00025,1,10,25,3.199039719485994,0.124
1,4,5,0.00025,1,10,26,2.738629161629104,0.1505
1,4,5,0.00025,1,10,27,3.02789889568629,0.2605
1,4,5,0.00025,1,10,28,2.9571604941213456,0.1165
1,4,5,0.00025,1,10,29,3.0252738092623472,0.1255
1,4,5,0.00025,1,10,30,2.658429434504404,0.1285
1,4,5,0.00025,1,10,31,3.5364360192366378,0.2485
1,4,5,0.00025,1,10,32,3.3423942363025834,0.2385
1,4,5,0.00025,1,10,33,2.4958616586575952,0.115
