rho,lmbda,gamma,k,num_regions,trial,C_T,cr_q
0.1,5,0.00025,1,5,40,-13.681189815161053,0.2045
0.1,5,0.00025,1,5,41,-13.295939947748531,0.244
0.1,5,0.00025,1,5,42,-13.966890353279618,0.1895
0.1,5,0.00025,1,5,43,-13.411176470957075,0.182
0.1,5,0.00025,1,5,44,-12.810417208692064,0.1815
0.1,5,0.00025,1,5,45,-13.219801211609953,0.1905
0.1,5,0.00025,1,5,46,-13.41873313886456,0.205
0.1,5,0.00025,1,5,47,-13.320676098352795,0.1845
0.1,5,0.00025,1,5,48,-13.4319924295366,0.1795
0.1,5,0.00025,1,5,49,-13.588668909632418,0.1835
0.1,5,0.00025,1,5,50,-12.65373355842827,0.2305
0.1,5,0.00025,1,5,51,-13.710903808025131,0.1765
0.1,5,0.00025,1,5,52,-13.277834345386724,0.1635
0.1,5,0.00025,1,5,53,-12.426794619753844,0.206
0.1,5,0.00025,1,5,54,-14.257379598990147,0.174
0.1,5,0.00025,1,5,55,-13.154519655695289,0.196
0.1,5,0.00025,1,5,56,-13.773134704514858,0.213
0.1,5,0.00025,1,5,57,-13.38257149035229,0.248
0.1,5,0.00025,1,5,58,-13.055276694195438,0.204
0.1,5,0.00025,1,5,59,-14.340004867429043,0.2155
0.1,5,0.00025,1,5,60,-11.757815660236767,0.1655
0.1,5,0.00025,1,5,61,-13.775378346145839,0.1855
0.1,5,0.00025,1,5,62,-13.97215970753163,0.187
0.1,5,0.00025,1,5,63,-13.153863286534598,0.1825
0.1,5,0.00025,1,5,64,-13.107798613767075,0.1845
0.1,5,0.00025,1,5,65,-13.491668877769124,0.1475
0.1,5,0.00025,1,5,66,-12.874945193168767,0.202
0.1,5,0.00025,1,5,67,-13.17429289056148,0.198
0.1,5,0.00025,1,5,68,-13.09910096348078,0.1745
0.1,5,0.00025,1,5,69,-13.187794108302265,0.2085
0.1,5,0.00025,1,5,70,-13.71410203197454,0.1805
0.1,5,0.00025,1,5,71,-13.744136845449226,0.1815
0.1,5,0.00025,1,5,72,-11.286814245945148,0.192
0.1,5,0.00025,1,5,73,-13.542504222623116,0.2145
0.1,5,0.00025,1,5,74,-12.647145904802713,0.215
0.1,5,0.00025,1,5,75,-11.920231805465548,0.1605
0.1,5,0.00025,1,5,76,-13.361882309770621,0.198
0.1,5,0.00025,1,5,77,-12.682355911191687,0.219
0.1,5,0.00025,1,5,78,-13.21223893562328,0.173
