lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,9,true_distr,0.9,0.0735,3.7394830372153214
5,1,0.00025,10,mixed_model,0.1,,
5,1,0.00025,10,mixed_model,0.2,,
5,1,0.00025,10,mixed_model,0.30000000000000004,,
5,1,0.00025,10,mixed_model,0.4,,
5,1,0.00025,10,mixed_model,0.5,,
5,1,0.00025,10,mixed_model,0.6,,
5,1,0.00025,10,mixed_model,0.7000000000000001,,
5,1,0.00025,10,mixed_model,0.8,,
5,1,0.00025,10,mixed_model,0.9,,
5,1,0.00025,10,mixture_model,0.1,,
5,1,0.00025,10,mixture_model,0.2,,
5,1,0.00025,10,mixture_model,0.30000000000000004,,
5,1,0.00025,10,mixture_model,0.4,,
5,1,0.00025,10,mixture_model,0.5,,
5,1,0.00025,10,mixture_model,0.6,,
5,1,0.00025,10,mixture_model,0.7000000000000001,,
5,1,0.00025,10,mixture_model,0.8,,
5,1,0.00025,10,mixture_model,0.9,,
5,1,0.00025,10,true_distr,0.1,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.2,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.30000000000000004,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.4,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.5,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.6,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.7000000000000001,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.8,0.0845,2.678015900600984
5,1,0.00025,10,true_distr,0.9,0.0845,2.678015900600984
5,1,0.00025,11,mixed_model,0.1,,
5,1,0.00025,11,mixed_model,0.2,,
5,1,0.00025,11,mixed_model,0.30000000000000004,,
5,1,0.00025,11,mixed_model,0.4,,
5,1,0.00025,11,mixed_model,0.5,,
5,1,0.00025,11,mixed_model,0.6,,
5,1,0.00025,11,mixed_model,0.7000000000000001,,
5,1,0.00025,11,mixed_model,0.8,,
5,1,0.00025,11,mixed_model,0.9,,
5,1,0.00025,11,mixture_model,0.1,,
5,1,0.00025,11,mixture_model,0.2,,
5,1,0.00025,11,mixture_model,0.30000000000000004,,
5,1,0.00025,11,mixture_model,0.4,,
5,1,0.00025,11,mixture_model,0.5,,
5,1,0.00025,11,mixture_model,0.6,,
5,1,0.00025,11,mixture_model,0.7000000000000001,,
5,1,0.00025,11,mixture_model,0.8,,
5,1,0.00025,11,mixture_model,0.9,,
5,1,0.00025,11,true_distr,0.1,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.2,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.30000000000000004,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.4,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.5,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.6,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.7000000000000001,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.8,0.077,2.8645141118577113
5,1,0.00025,11,true_distr,0.9,0.077,2.8645141118577113
5,1,0.00025,12,mixed_model,0.1,,
5,1,0.00025,12,mixed_model,0.2,,
